# 34 Wix event pages, fetched anonymously on 2026-07-25.
# start_date comes from each page's JSON-LD `startDate`; a BLANK start_date means the
# page published no JSON-LD startDate, not a formatting error (2 rows).
# registration: open | closed | none, as displayed on the page. Wix leaves RSVP open on
# past events, so `open` on a past date is not a live registration.
start_date	registration	url
2026-08-04	open	https://www.minoritywealthgap.org/events-1/cooking-camp-cohort-3-1
2025-11-15	open	https://www.minoritywealthgap.org/events-1/call-to-action-our-fight-against-domestic-violence-needs-you
2025-10-11	closed	https://www.minoritywealthgap.org/events-1/tech-innovations-for-safety
2025-09-27	open	https://www.minoritywealthgap.org/events-1/mens-health-wealth-fundraiser
2025-09-20	closed	https://www.minoritywealthgap.org/events-1/food-is-the-cure
2025-08-04	open	https://www.minoritywealthgap.org/events-1/cooking-summer-camp-for-youth-1
2025-04-26	open	https://www.minoritywealthgap.org/events-1/ethical-digital-behavior-a-path-to-transformational-leadership
2024-10-18	closed	https://www.minoritywealthgap.org/events-1/domestic-violence-campaign-awareness-1
2024-09-07	open	https://www.minoritywealthgap.org/events-1/navigating-the-future-high-school-internships-as-career-launchpads
2024-07-27	open	https://www.minoritywealthgap.org/events-1/mental-health-mental-wealth
2024-06-15	open	https://www.minoritywealthgap.org/events-1/shammex-joy-bakes-cooking-camp
2024-06-02	open	https://www.minoritywealthgap.org/events-1/job-fair-for-the-los-angeles-intuit-dome-future-home-of-the-la-clippers
2024-05-03	open	https://www.minoritywealthgap.org/events-1/marys-day-celebrations
2023-12-19	none	https://www.minoritywealthgap.org/events-1/lecture-the-gender-pay-gap
2023-11-20	none	https://www.minoritywealthgap.org/events-1/women-engineers-teach-javascript
2023-10-07	closed	https://www.minoritywealthgap.org/events-1/digital-marketing-for-nonprofits-with-google
2023-09-05	closed	https://www.minoritywealthgap.org/events-1/htas-line-cook-apprenticeship-program-1
2023-07-29	closed	https://www.minoritywealthgap.org/events-1/google-ads-for-nonprofits
2023-06-12	closed	https://www.minoritywealthgap.org/events-1/htas-line-cook-apprenticeship-program
2023-06-11	open	https://www.minoritywealthgap.org/events-1/mothers-union-celebration-of-marys-day
2023-03-25	closed	https://www.minoritywealthgap.org/events-1/techsoup-for-nonprofits-charities-churches
2023-03-21	closed	https://www.minoritywealthgap.org/events-1/executive-directors-chat-spotlight-on-women-who-run-nonprofits
2022-12-24	closed	https://www.minoritywealthgap.org/events-1/merry-christmass
2022-12-18	closed	https://www.minoritywealthgap.org/events-1/ugandan-community-church
2022-12-11	closed	https://www.minoritywealthgap.org/events-1/the-awakening-concert
2022-12-04	closed	https://www.minoritywealthgap.org/events-1/praise-god-africa
2022-11-20	closed	https://www.minoritywealthgap.org/events-1/thanksgiving-makungula
2022-10-22	open	https://www.minoritywealthgap.org/events-1/family-meets
2022-10-15	closed	https://www.minoritywealthgap.org/events-1/ugandan-independence-with-dr-jose-chameleone
2022-10-09	none	https://www.minoritywealthgap.org/events-1/kina-uganda
2022-10-09	closed	https://www.minoritywealthgap.org/events-1/conference-on-federal-system-of-government-in-uganda
2022-10-08	closed	https://www.minoritywealthgap.org/events-1/ugandan-independence-cup-kids-vs-moms
	open	https://www.minoritywealthgap.org/events-1/data-science-and-financial-course-for-youth
	closed	https://www.minoritywealthgap.org/events-1/cooking-summer-camp-for-youth
